client_id,business_name,trade,license_class,roc_number,city,zip,owner,issued,missing,phone,email,website
b-youngs-plumbing-llc,B Youngs Plumbing LLC,plumbing,CR-37,352114,Tucson,85719,Robert Bradley Young Jr,,phone,,,
e-c-installations-llc,E & C Installations LLC,carpentry,CR-60,352109,TUCSON,85736,Edgardo Aurelio Trejo,,phone,,,
electech-solutions-llc,Electech Solutions LLC,electrical,CR-11,352095,TUCSON,85711,Fabian Poblete,,phone,,,
a-5-builders-llc,A 5 Builders LLC,general,KB-2,352086,TUCSON,85706,Adrian Romo,,phone,,,
patrick-builders-inc,Patrick Builders INC,general,B,352083,Marana,85658,Daryl Patrick,,phone,,,
mart-concrete-llc,MART CONCRETE LLC,concrete,CR-9,352069,Tucson,85746,Irenia Pizano,,phone,,,
eurostyl-remodeling-llc,Eurostyl Remodeling LLC,general,KB-2,352057,Tucson,85741,Tomasz Kluczek,,phone,,,
the-green-energy-team-llc,The Green Energy Team LLC,electrical,CR-11,352051,Tucson,85704,Felizardo Tanori Cardenas,,phone,,,
sullivan-design-build-llc,Sullivan Design Build LLC,signs,KB-2,352028,Tucson,85742,Michael Thomas Sullivan,,phone,,,
martinez-concepts-masonrylandscape-design-llc,Martinez Concepts Masonry/Landscape Design LLC,landscaping,CR-21,352025,Tucson,85739,Pablo Abraham Castro Martinez,,phone,,,
chad-michael-mannor,Chad Michael Mannor,hvac,CR-39,352010,Sahuarita,85629,Chad Michael Mannor,,phone,,,
low-cost-hvac-solutions-llc,Low Cost HVAC Solutions LLC,hvac,CR-39,352005,Tucson,85746,Jesus Antonio Rodriguez,,phone,,,
southwest-backflow-llc,Southwest Backflow LLC,plumbing,CR-37,351995,Tucson,85710,Donald Ourand,,phone,,,
homerun-electric-llc,HomeRun Electric LLC,electrical,CR-11,351994,Tucson,85746,Jonathan Aaron Salcido,,phone,,,
rootz-landscaping-llc,Rootz Landscaping LLC,landscaping,CR-21,351991,Oro Valley,85742,Luke Christopher Smith,,phone,,,
diamondback-construction-landscape-llc,Diamondback Construction & Landscape LLC,general,KB-2,351990,Marana,85653,Trent Jacob Gardner,,phone,,,
brian-joseph-blalack,Brian Joseph Blalack,handyman,R-62,351989,Sahuarita,85629,Brian Joseph Blalack,,phone,,,
all-gutters-llc,ALL GUTTERS LLC,hvac,CR-45,351958,TUCSON,85705,Nicholas Cody Marshall,,phone,,,
diamondback-construction-landscape-llc,Diamondback Construction & Landscape LLC,landscaping,CR-21,351951,Marana,85653,Isaiah Adam Saavedra,,phone,,,
prime-level-contracting-llc,Prime Level Contracting LLC,general,KB-1,351948,Tucson,85712,Carlos Alberto Ramirez Gonzalez,,phone,,,
jgr-construction-llc,JGR Construction LLC,general,KB-2,351938,Tucson,85745,Jonathan Garcia Rios,,phone,,,
soilstone-llc,SOIL+STONE LLC,landscaping,CR-21,351902,Oro Valley,85755,Irvin Omar Santos Barajas,,phone,,,
scrub-a-tub-llc,SCRUB A TUB LLC,pools,CR-6,351893,Tucson,85756,Nickolas Scott Blanchard,,phone,,,
rad-dad-handyman-services-llc,Rad Dad Handyman Services LLC,handyman,R-62,351891,Tucson,85756,Victor Peter Matsko III,,phone,,,
copperhead-canyon-contracting-llc,Copperhead Canyon Contracting LLC,general,KB-2,351880,Tucson,85743,BRAEDEN MADRID,,phone,,,
lescon-construction-llc,Lescon Construction LLC,general,KB-2,351870,TUCSON,85745,LESTER LOPEZ PORTILLO HERMOSILLO,,phone,,,
gilco-construction-llc,Gilco Construction LLC,general,KB-2,351828,Tucson,85715,Gilbert Romero,,phone,,,
diamondback-desert-scapes-llc,"Diamondback Desert Scapes, LLC",landscaping,R-21,351827,Marana,85653,Jacob Michael Clarkson,,phone,,,
raddp-llc,RADDP LLC,carpentry,CR-60,351825,Tucson,85739,Ruben Alejandro Siqueiros,,phone,,,
alfredo-gonzalez,Alfredo Gonzalez,painting,CR-34,351811,Sahuarita,85629,Alfredo Gonzalez,,phone,,,
ridge-line-homes-llc,Ridge Line Homes LLC,general,KB-1,351801,Tucson,85750,Lawrence Smith Gibbons,,phone,,,
rosewood-canyon-construction-llc,ROSEWOOD CANYON CONSTRUCTION LLC,plumbing,CR-37,351782,Sahuarita,85629,Manuel Rinaldo Vasquez,,phone,,,
green-valley-plumbing-and-drain-llc,Green Valley Plumbing and Drain LLC,plumbing,R-37R,351773,Tucson,85713,Kevin Ghadiri Khamjani,,phone,,,
frank-heating-and-cooling-llc,FRANK HEATING AND COOLING LLC,hvac,CR-39,351757,Tucson,85746,Tiffany Leann Soto,,phone,,,
sunset-building-design-llc,Sunset Building & Design LLC,signs,KB-2,351755,Tucson,85716,Dillon G Haight,,phone,,,
rvz-construction-llc,RVZ Construction LLC,concrete,CR-9,351747,Tucson,85706,German Antonio Arvizu,,phone,,,
translucent-vivarium-works-inc,TRANSLUCENT VIVARIUM WORKS INC,carpentry,CR-60,351725,Tucson,85756,Conan Tran,,phone,,,
arizona-sun-builders-llc,Arizona Sun Builders LLC,general,B,351693,TUCSON,85757,Miguel Nieblas Jr,,phone,,,
architectural-remodeling-construction-llc,ARCHITECTURAL REMODELING CONSTRUCTION LLC,general,KB-2,351687,Tucson,85635,Aaron David Marquis,,phone,,,
reco-solar-electric-llc,RECO Solar & Electric LLC,electrical,CR-11,351682,Tucson,85703,Bryan Gregory Lovitt,,phone,,,
ocejo-concrete-llc,Ocejo Concrete LLC,concrete,CR-9,351659,Tucson,85713,Roberto Ocejo Ocejo,,phone,,,
desert-pro-llc,Desert Pro LLC,general,B-3,351653,Tucson,85718,Edward Steven Stewart,,phone,,,
roadrunner-builders-llc,Roadrunner Builders LLC,general,KB-2,351650,Tucson,85742,Nicholas P Tocco,,phone,,,
bella-paving-llc,Bella Paving LLC,asphalt,CR-69,351631,TUCSON,85730,Louis Tapia,,phone,,,
dynamic-installation-metal-worx-llc,"Dynamic Installation & Metal Worx, LLC",hvac,CR-45,351620,Tucson,85730,Manuel Enrique Tellez,,phone,,,
dylanns-painting-llc,Dylann's Painting LLC,painting,CR-34,351618,Tucson,85705,Liliana Guadalupe Salazar Garcia,,phone,,,
precise-excavation-grading-llc,PRECISE EXCAVATION & GRADING LLC,excavating,CR-2,351613,TUCSON,85641,Armando M Guerrero,,phone,,,
bighorn-proscapes-llc,Bighorn Proscapes LLC,landscaping,CR-21,351605,Tucson,85742,Tony Michael Gebelle,,phone,,,
mt-roofing-llc,MT Roofing LLC,hvac,CR-39,351602,Vail,85641,Michelle Ann Izzo,,phone,,,
cowboy-plumbing-and-drain-llc,Cowboy Plumbing And Drain L.L.C.,plumbing,CR-37,351585,Tucson,85756,Ryan Francis Browning,,phone,,,
virtuoso-handyman-services-llc,VIRTUOSO HANDYMAN SERVICES LLC,handyman,KB-2,351583,TUCSON,85757,Alfred Vega Ochoa,,phone,,,
dte-fire-protection-llc,DTE FIRE PROTECTION LLC,fireprotection,CR-16,351577,TUCSON,85710,Edward Basilo Hernandez,,phone,,,
removal-reinstallation-corporation,Removal & Reinstallation Corporation,general,KB-2,351561,Green Valley,85614,Domenic Sebastian Holliday,,phone,,,
scorpions-wrought-iron-llc,SCORPIONS WROUGHT IRON LLC,welding,CR-24,351551,Sahuarita,85629,Luis Gonzalez Jr. Jr,,phone,,,
grey-gold-concrete-llc,Grey Gold Concrete LLC,concrete,CR-9,351529,Green Valley,85614,Christian Espinoza Ornelas,,phone,,,
onward-enterprises-inc,Onward Enterprises Inc.,general,B,351524,Tucson,85749,Robert Lamb,,phone,,,
vs-concrete-llc,VS CONCRETE LLC,concrete,CR-9,351513,Tucson,85710,Pete Vega,,phone,,,
flash-electric-signs-llc,Flash Electric & Signs LLC,signs,C-38,351511,Tucson,85746,Edward Encinas Ramos,,phone,,,
ascendant-plumbing-llc,"Ascendant Plumbing, LLC",plumbing,KB-2,351505,Tucson,85713,Salvador Camacho,,phone,,,
roberts-home-repair-llc,Robert's Home Repair LLC,carpentry,CR-61,351480,Tucson,85705,Robert Carl Harrison,,phone,,,
gorilla-fabrication-llc,Gorilla Fabrication LLC,welding,R-24,351478,Tucson,85710,Todd Alan Bushell,,phone,,,
pt-builders-llc,PT Builders LLC,general,KB-2,351475,NOGALES,85621,Pedro Osete,,phone,,,
watters-ventures-llc,WATTERS VENTURES LLC,electrical,CR-11,351474,Tucson,85716,Paul David Watters,,phone,,,
craftmade-construction-llc,CRAFTMADE CONSTRUCTION LLC,general,KB-2,351471,TUCSON,85745,Cole Matthews,,phone,,,
ag-desert-construction-llc,A&G Desert Construction LLC,landscaping,CR-21,351464,TUCSON,85711,alexis velazquez sanchez,,phone,,,
gladiator-garage-door-service-llc,Gladiator garage door service LLC,handyman,R-62,351455,Vail,85641,Donnell Burch,,phone,,,
bulldogge-electric-llc,BULLDOGGE ELECTRIC LLC,electrical,CR-11,351449,TUCSON,85714,,,phone,,,
myv-roofing-llc,MYV ROOFING LLC,roofing,CR-42,351445,TUCSON,85746,Manuel Eduardo Valencia,,phone,,,
a-j-precision-construction-llc,A & J PRECISION CONSTRUCTION LLC,general,KB-1,351442,Tucson,85704,ADELINA MARTINEZ,,phone,,,
rce-construction-llc,RCE Construction LLC,general,KB-2,351436,Tucson,85746,Patricia Chiquete,,phone,,,
vista-stucco-drywall-llc,Vista Stucco & Drywall LLC,sheetrock,CR-10,351434,Sierra Vista,85635,Edward R Durgin,,phone,,,
